name,id,status,park,region,province,country,distance,elevation_gain,start_date,end_date,people,people_names,max_temp,min_temp,rain,snow,summer_temp,winter_temp,annual_rain,annual_snow,route_type,lat,lng,forest,lake,river,waterfall,beach,historic_site,cave,hot_spring,difficulty,rating,route1,route2
Grand Canyon,1,0,Grand Canyon,Grand Canyon,Arizona,USA,27.1,1510,2009-05-22,2009-05-23,2,"Jamie, Guy",17.0,8.9,28.6,0.0,32.3,-14.0,254.0,56.8,point to point,36.053,-112.084,0,0,1,0,0,0,0,0,7,5,"https://www.komoot.com/plan/tour/d01AiYfPvlRvOg=FxjQC8Ipl0Kpj67RFkgAKfVwXnwjQjupt4A=/@36.0755210,-112.1179217,11.659z",
Field Trip Failure,2,0,Algonquin,Algonquin,Ontario,Canada,10.0,140,2012-06-16,2012-06-17,20,"Jamie, class",26.8,16.8,0.0,0.0,28.4,-23.8,729.6,197.2,out and back,45.573,-78.525,1,1,1,1,0,0,0,0,1,1,"https://www.komoot.com/plan/tour/d01ArdkSftRzYI=Fwf0BL7t0Bo2WSaO56LiVF5i9wsA/@45.5685222,-78.5049178,13.034z",
Geothermal Tour,3,0,Lake Myvatn,Lake Myvatn,Nordurland Eystra,Iceland,30.5,580,2018-08-02,2018-08-03,1,Jamie,15.3,7.9,1.8,0.0,17.9,-15.8,414.3,414.2,loop,65.640,-16.915,0,1,0,0,0,0,1,1,5,4,"https://www.komoot.com/plan/tour/d01A-mVi_796cQ=FxhsE7HqY0B3_9AWNnUdPjcZQYSmDglWCOctC-mfoUIAnYzI6_w6rNuxm3bPJEhtph5nMqg21AdRI1QN3ZdUuULZ9ix23x-t3_RhASCGmhCJv_qxBR6Dhpo393WBCqlzu6_u58BQBKA3AA==/@65.6222979,-16.8666854,10.894z",
Kepler Track,4,0,Fiordland,Southland,South Island,New Zealand,55.0,1780,2019-11-28,2019-11-30,1,Jamie,19.3,8.3,0.5,0.0,22.5,-1.8,1321.4,40.1,point to point,-45.492,167.664,1,1,1,1,1,0,1,0,7,5,"https://www.komoot.com/plan/tour/d01_Unaiwn-Vw8=FzlsCAT8fJsvfLPlz7dQBwvqTiByCRA_HcIV5ADg1FVDQXywH2imiRT2ZAIKQNqA/@-45.4413561,167.6327508,10.352z",
Grotto Meteor,5,0,Bruce Peninsula,Bruce Peninsula,Ontario,Canada,39.4,320,2020-10-20,2020-10-22,2,"Jamie, Peyman",11.5,6.8,11.8,0.0,24.2,-15.8,761.8,177.7,out and back,45.191,-81.420,1,1,0,0,0,0,1,0,5,5,"https://www.komoot.com/plan/tour/d01ArGLxPsln-E=Fyj0BIc4SrDD_UIAZKR_CCuasIti-f1vf9QkClsAsKLDw5xMA5nougA=/@45.2165213,-81.4706708,11.374z",
Hyoptermia Party,6,0,Algonquin,Algonquin,Ontario,Canada,32.6,530,2021-10-15,2021-10-17,2,"Jamie, Kamil",19.4,6.7,23.8,0.0,28.2,-23.2,774.9,200.5,loop,45.463,-78.798,1,1,1,1,0,0,0,0,5,1,"https://www.komoot.com/plan/tour/d01ArW2-_tNo_k=Fxj0EMy94rNxpszxNjAlqadM4BQj4LNneU52jmA=/@45.4908870,-78.8166749,11.307z",
Lake Faya,7,0,Algonquin,Algonquin,Ontario,Canada,25.0,400,2021-10-22,2021-10-24,2,"Jamie, Peyman",7.4,2.0,0.0,0.0,28.4,-23.8,729.6,197.2,loop,45.573,-78.525,1,1,1,1,0,0,0,0,3,3,"https://www.komoot.com/plan/tour/d01ArdkSftRzYI=FxhsBg0lKH1xYXrRUqkdZp06YJTh2btZWNA=/@45.5599935,-78.4972530,12.357z",
Ski Trail Stroll,8,0,Algonquin,Algonquin,Ontario,Canada,17.5,180,2022-03-26,2022-03-27,1,Jamie,3.3,-10.6,1.1,1.7,28.1,-23.4,729.6,197.2,loop,45.556,-78.603,1,1,0,0,0,0,0,0,7,2,"https://www.komoot.com/plan/tour/d01ArcgKftQnhQ=FvjsE0CIx5Mf5UziXRBHmG-fDSrMyb_5wRDJUpCg/@45.5879834,-78.5907758,12.713z",
First Frontenac,9,0,Frontenac,Frontenac,Ontario,Canada,39.3,340,2022-05-06,2022-05-08,1,Jamie,15.8,3.5,0.0,0.0,30.5,-19.9,865.4,127.8,loop,44.577,-76.522,1,1,0,1,0,1,0,0,3,4,"https://www.komoot.com/plan/tour/d01AqgvvvtwXiw=Fxh0E-jjyAWEL-vqfouWaYdr7X17Lsi6xoaNzHYo_VZX8kPwBZM5HKKvA7G73Bqg/@44.5522485,-76.4887480,11.351z",
Bad Echo,10,0,Bon Echo,Frontenac,Ontario,Canada,14.0,140,2022-05-13,2022-05-15,2,"Jamie, Linda",27.3,14.6,4.7,0.0,30.1,-21.7,750.6,158.3,loop,44.902,-77.246,1,1,0,0,0,0,0,0,1,2,"https://www.komoot.com/plan/tour/d01Aq0ocPtlU1Q=FwgABIkHCGya5yRCU6h4YIRKMj3KSBfWxLFRkLvaoA==/@44.9199541,-77.2347337,12.106z",
Witchy Waterslide,11,0,Algonquin,Algonquin,Ontario,Canada,18.7,190,2022-07-21,2022-07-23,2,"Jamie, Julia",28.0,16.4,0.2,0.0,30.7,-23.5,682.3,175.3,loop,45.867,-77.757,1,1,1,1,0,0,0,0,3,3,"https://www.komoot.com/plan/tour/d01ArvhdftdiZE=FxfcEjC9cSOmcmAh8gq4xStuXrTaknQp0A==/@45.8599981,-77.7171477,12.287z",
Charleston Lake,12,0,Charleston Lake,Frontenac,Ontario,Canada,11.7,120,2022-08-13,2022-08-14,3,"Jamie, Arny, Kelly",26.0,16.1,0.0,0.0,30.1,-18.7,885.5,126.4,loop,44.504,-76.038,1,1,0,0,1,0,0,0,1,4,"https://www.komoot.com/plan/tour/d01AqcS8vt3vk4=FvhsBgBbHCLZWXJn27NjtFkptBeyhtKo/@44.5201802,-76.0349901,12.789z",
Hawk Ridge,13,0,Halfway Lake,Sudbury,Ontario,Canada,17.2,190,2022-09-03,2022-09-04,1,Jamie,18.6,8.4,0.0,0.0,28.1,-26.0,616.8,171.7,loop,46.906,-81.635,1,1,0,0,0,0,0,0,3,2,"https://www.komoot.com/plan/tour/d01AsuzhfsiOgw=FwcABNJ7peBLxst4Iu5dSZKZS1GIW-gW538bmaA=/@46.9165467,-81.6553131,12.472z",
Pukaskwa Loop,14,0,Pukaskwa,Lake Superior,Ontario,Canada,29.8,400,2022-09-06,2022-09-07,1,Jamie,20.1,13.5,0.0,0.0,23.1,-24.4,598.4,174.7,loop,48.591,-86.290,1,1,1,1,1,0,0,0,5,4,"https://www.komoot.com/plan/tour/d01AuVyTPrbUGM=Fxh4BJKFcPSIOHsCGJD3RyzO8JuM_h2nQaHpMLvZgCOAFgpMLvao/@48.5737256,-86.2575995,11.899z",
Sleeping Giant,15,0,Sleeping Giant,Lake Superior,Ontario,Canada,32.8,590,2022-09-08,2022-09-09,1,Jamie,19.1,14.7,6.8,0.0,22.1,-23.1,528.6,144.1,out and back,48.340,-88.822,1,1,0,0,1,0,0,0,7,4,"https://www.komoot.com/plan/tour/d01AuGdjvq0rlg=Fyh0BP0B_N4TGyjA3pT1DTHOS_CwyT-i43K61B7Y0A4f4NA=/@48.3212661,-88.8844835,11.610z",
Towab,16,0,Lake Superior,Lake Superior,Ontario,Canada,20.2,450,2022-09-12,2022-09-13,1,Jamie,18.8,14.0,5.6,0.0,24.1,-23.3,788.0,215.9,out and back,47.351,-84.582,1,0,1,1,0,0,0,0,5,4,"https://www.komoot.com/plan/tour/d01AtKEJPr1YHU=FxhsEzpONZXGQzJVAA==/@47.3649330,-84.5698630,12.091z",
McKenzie,17,0,Mississagi,Sudbury,Ontario,Canada,30.9,480,2022-09-15,2022-09-16,1,Jamie,15.9,11.3,16.5,0.0,27.6,-24.9,707.3,164.2,loop,46.583,-82.695,1,1,0,0,1,0,0,0,5,3,https://www.alltrails.com/explore/recording/afternoon-hike-at-mackenzie-trail-2e4fb1d,https://www.alltrails.com/explore/trail/canada/ontario/semiwite-lake-loop?mobileMap=false&ref=sidebar-static-map
Brule Bushwack,18,0,Algonquin,Algonquin,Ontario,Canada,32.6,260,2022-10-14,2022-10-17,3,"Jamie, Kamil, John M",10.2,3.1,11.1,0.0,27.9,-23.7,817.4,200.9,out and back,45.603,-78.954,1,1,0,0,0,1,0,0,7,1,"https://www.komoot.com/plan/tour/d01ArfaRftLQn0=FygABKfPraBUAA==/@45.6204982,-78.8895360,11.640z","https://www.google.ca/maps/dir/45.6352082,-78.877111/45.6375661,-78.8700952/45.6352128,-78.8771011/45.6298569,-78.804297/45.6352086,-78.8771041/@45.6371431,-78.8697986,7134m/data=!3m1!1e3!4m2!4m1!3e2"
Mizzy Lake,19,0,Algonquin,Algonquin,Ontario,Canada,11.4,90,2023-03-18,2023-03-19,4,"Jamie, Evan, Paige, John R",-2.6,-14.6,0.0,1.0,28.1,-22.7,774.9,200.5,loop,45.543,-78.695,1,1,0,0,0,1,0,0,5,3,"https://www.komoot.com/plan/tour/d01ArbtC_tPM_c=FujsEzQAg5QlEcdkp26t7QA=/@45.5603697,-78.6862111,12.039z",
Snake Lake Break,20,0,Queen Elizabeth II,Frontenac,Ontario,Canada,24.3,210,2023-05-05,2023-05-07,2,"Jamie, Evan",19,4.2,0.3,0.0,29.7,-22.6,854.2,149.6,out and back,44.861,-78.821,1,1,0,0,0,0,0,0,3,4,"https://www.komoot.com/plan/tour/d01AqyAXftNXVY=FxhYBk0QEHkrd3ImBBt-Y5fuNzGg/@44.8639680,-78.8400463,12.553z",
White Bluff,21,0,Smokey Head,Bruce Peninsula ,Ontario ,Canada ,12.6,130,2023-08-04,2023-08-06,3,"Jamie, Linda",21.7,17.5,0.3,0.0,25.3,-16.1,746.0,158.5,out and back,45.020,-81.284,1,1,0,0,0,0,0,0,1,5,"https://www.komoot.com/plan/tour/d01Aq71a_sntWw=FvgABLshTB8-xcfwT0gQRNIqeE_cgOHnvCL-7zIMxs3WmgA=/@45.0374395,-81.2752245,12.061z?similar=1247331824",
La Cloche,22,0,Killarney,Killarney,Ontario,Canada,77.6,1520,2023-08-27,2023-08-31,1,Jamie,18.4,10.5,16.0,0.0,24.5,-20.0,689.8,152.4,loop,46.017,-81.396,1,1,1,1,1,0,0,0,7,4,"https://www.komoot.com/plan/tour/d01Ar4ez_sl5N4=FyjYBIQ-YPbT7wZ8JItRqP_MPnIzn5DYb0GBs_hbAdEIHpX4vDhGBdcmc4NydJytpyg=/@46.0761423,-81.3522639,10.053z",
Mount Marcy,23,0,High Peaks,Adirondacks,New York,USA,36.2,1670,2023-09-30,2023-10-02,3,"Jamie, Paige, John R",,,,,,,,,loop,44.183,-73.964,1,1,1,0,0,1,0,0,7,5,"https://www.komoot.com/plan/tour/d01AqIujPuXZw8=FxlsBm59sFitltBadPyhyRHynf0JxOVZ70ilku_DNABoCtDBhAXNCKHL1AA=/@44.1435734,-73.9558634,10.959z",
Sheldon Lake,24,0,Queen Elizabeth II,Frontenac,Ontario,Canada,18.9,160,2023-10-14,2023-10-15,2,"Jamie, Peyman",,,,,29.7,-22.6,854.2,149.6,loop,44.861,-78.821,1,1,0,0,0,1,0,0,3,4,"https://www.komoot.com/plan/tour/d01AqyAXftNXVY=FxgABPpkfj0IWbwcMNXk_h0Pv_QZ5J9vpKMo/@44.8433775,-78.8243859,11.838z",
Laugavegur,1023,1,Icelandic Highlands,Icelandic Highlands,Sudurland,Iceland,79.5,2960,,,,,,,,,14.5,-15.1,680.4,454.2,point to point,63.991,-19.060,0,1,1,1,0,0,0,1,5.3,4.7,https://www.alltrails.com/trail/iceland/southern/laugavegur-and-fimmvorduhals-trails,
Cranberry Lake 50,1024,1,Cranberry Lake,Adirondacks,New York,USA,79.2,930,,,,,,,,,28.2,-22.1,1094.9,213.6,loop,44.132,-74.920,1,1,1,1,0,0,0,0,5.0,4.2,"https://www.komoot.com/plan/tour/d11AqFtaPuI41U=FylsExxfaRzuS2mGLD04KURYW7OmdNTVpSPlAA==/@44.1455629,-74.8160510,10.034z",
West Coast Trail,1025,1,Vancouver Island,Vancouver Island,British Columbia,Canada,75.0,1510,,,,,,,,,23.7,-0.9,1844.2,19.0,point to point,48.577,-124.417,1,0,1,1,1,1,1,0,5.1,3.9,https://www.alltrails.com/trail/canada/british-columbia/west-coast-trail-north-to-south,
Full Western Uplands,1026,1,Algonquin,Algonquin,Ontario,Canada,73.1,940,,,,,,,,,28.2,-23.2,774.9,200.5,loop,45.463,-78.798,1,1,1,0,0,0,0,0,4.9,3.0,"https://www.komoot.com/plan/tour/d01ArW3F_tNo-U=FynsEzL3ippBkCv-kPyRHnzQ/@45.5389051,-78.8226251,9.843z",
Lake Superior Coast,1027,1,Lake Superior,Lake Superior,Ontario,Canada,70.4,660,,,,,,,,,23.1,-22.1,812.3,214.1,point to point,47.559,-84.949,1,1,1,1,1,0,1,0,5.2,3.9,"https://www.komoot.com/plan/tour/d01AtTTTfrwxco=Fyl4BMHk7dgkPGSyTInMPRWA/@47.5527335,-84.9065954,10.100z",
Pukaskwa Coast,1029,1,Pukaskwa,Lake Superior,Ontario,Canada,59.5,730,,,,,,,,,23.1,-24.4,598.4,174.7,point to point,48.591,-86.290,1,1,1,1,1,0,0,0,5.1,3.9,"https://www.komoot.com/plan/tour/d01AuVwIfrbUHQ=Fzp4BiwLCjiMrfNTHAA=/@48.3981206,-86.0771330,8.161z",
North Driver Trail,1030,1,Jacques-Cartier,Qubec City,Quebec,Canada,55.1,870,,,,,,,,,27.0,-24.6,985.8,262.3,out and back,47.174,-71.369,1,0,1,1,0,0,0,0,4.7,3.9,"https://www.komoot.com/plan/tour/d11As_VLvu-_i4=Fyn0BlRb6KpmDHTZRAONCrAH_HD1UEkswr0GYEI-G6A=/@47.3211407,-71.4508544,11.313z",https://imagescloud.s3.amazonaws.com/documents/cartes-generales/jac_carte_generale.pdf
Silver Peak,1031,1,Killarney,Killarney,Ontario,Canada,54.5,1260,,,,,,,,,24.5,-20.0,689.8,152.4,out and back,46.014,-81.403,1,1,0,0,0,0,0,0,5.0,3.8,"https://www.komoot.com/plan/tour/d01Ar40N_sl_HQ=FyjYBKB4DTlSeQknck9bG_OWIEIIANZr9Xd9_JFk6A==/@46.0654210,-81.2765747,9.655z",
Ganaraska Trail,1028,1,QE2W,Frontenac,Ontario,Canada,53.1,220,,,,,,,,,29.7,-22.6,854.2,149.6,out and back,44.830,-79.058,1,1,1,1,0,0,0,0,4.0,3.6,"https://www.komoot.com/plan/tour/d01AqwXrvtJp3Q=FzjYDEoHgh67B0XRN5scGWt3cqA=/@44.8444508,-78.9578155,11.159z",
Deep Elizabeth Wildlands,1032,1,Queen Elizabeth II,Frontenac,Ontario,Canada,38.3,190,,,,,,,,,29.8,-22.1,862.8,148.3,loop,44.830,-79.058,1,1,1,1,0,0,0,0,4.0,3.7,https://www.ontarioparks.com/pdf/maps/queenelizabeth2wildlands/qe2-backcountry-hiking-canoe-routes.pdf,
Bruce Trail Sink Hole,1033,1,Bruce Peninsula,Bruce Peninsula,Ontario,Canada,38.2,300,,,,,,,,,24.1,-16.0,761.8,177.7,out and back,45.227,-81.481,1,1,0,0,0,0,0,0,4.5,3.9,"https://www.komoot.com/plan/tour/d01ArIdE_sktV0=FyfsEytMeJR7KNp6pfhJhwQ6t6NPzgD4oA==/@45.2286601,-81.4918657,11.431z",
Heaven's Gate Trail,1034,1,La Cloche,Killarney,Ontario,Canada,38.0,1320,,,,,,,,,27.3,-22.8,805.0,158.1,point to point,46.113,-82.076,1,1,1,0,0,0,0,0,5.0,3.8,https://www.alltrails.com/trail/canada/ontario/heavens-gate-trail,
Mount Skylight,,1,High Peaks,Adirondacks,New York,USA,37.6,1540,,,,,,,,,,,,,out and back,44.089,74.056,1,1,1,0,0,0,0,0,,,"https://www.komoot.com/plan/tour/d01AqCztfuWAJk=FyhYE2nrpPLTmb25kxB7mM77k82Cj7zQ/@44.0978395,-73.9760913,11.197z",
Long Range Traverse,1035,1,Gros Morne,Gros Morne,Newfoundland,Canada,36.5,1720,,,,,,,,,22.0,-14.7,952.32,380.261,point to point,49.715,-57.663,1,1,1,1,0,0,0,0,5.2,4.3,https://www.alltrails.com/trail/canada/newfoundland-and-labrador/northern-long-range-traverse-and-gros-morne-mountain,
Skjeggedal,1036,1,Norway,Norway,Norway,Norway,35.0,1540,,,,,,,,,22.2,-14.3,1285.67,756.819,loop,60.133,6.627,0,1,0,0,0,0,0,0,4.9,4.4,"https://www.komoot.com/plan/tour/d01A5WOfwBlHb0=FyiABKJw4hDSRAtVm2g=/@60.1201475,6.7341635,10.003z",
Highland Trail,1037,1,Algonquin,Algonquin,Ontario,Canada,35.0,460,,,,,,,,,28.4,-23.8,729.6,197.2,loop,45.573,-78.525,1,1,1,1,0,0,0,0,4.6,3.1,"https://www.komoot.com/plan/tour/d01ArdkS_tRzXU=Fxj4BNnDJ2klWanxmixjlYnE05KEUGOPE3Wg/@45.5428625,-78.5013269,11.480z",
Beausoleil Island Tour,1038,1,Georgian Bay Islands,Georgian Bay,Ontario,Canada,34.9,180,,,,,,,,,28.5,-18.9,839.8,162.1,loop,44.889,-79.855,1,1,0,0,1,1,0,0,4.2,3.4,"https://www.google.ca/maps/dir/Oaks+Campground/44.8999161,-79.8528078/Oaks+Campground/44.889911,-79.8787241/Oaks+Campground/Beausoleil+Island+Lighthouse/Pointe+Beausoleil/Oaks+Campground/44.8520309,-79.862205/@44.8667116,-79.8935928,18886m/data=!3m2!1e3!4b1!4m71!4m70!1m10!1m1!1s0x4d2ae6fc8867be3b:0xd0e905360601506c!2m2!1d-79.854972!2d44.889549!3m4!1m2!1d-79.8395006!2d44.8871106!3s0x4d2ae656ebc56427:0x437742477f44509f!1m0!1m5!1m1!1s0x4d2ae6fc8867be3b:0xd0e905360601506c!2m2!1d-79.854972!2d44.889549!1m5!3m4!1m2!1d-79.8715178!2d44.885708!3s0x4d2ae6de0dcbd933:0x561492db1678a004!1m5!1m1!1s0x4d2ae6fc8867be3b:0xd0e905360601506c!2m2!1d-79.854972!2d44.889549!1m5!1m1!1s0x4d2ae74193557b55:0x5dbef56226858507!2m2!1d-79.8757477!2d44.877077!1m10!1m1!1s0x4d2adddb88603755:0x1ec3ee6ba1339cd6!2m2!1d-79.871741!2d44.828809!3m4!1m2!1d-79.8698172!2d44.8486745!3s0x4d2add8712ac775d:0x55ed5621de353049!1m20!1m1!1s0x4d2ae6fc8867be3b:0xd0e905360601506c!2m2!1d-79.854972!2d44.889549!3m4!1m2!1d-79.8620848!2d44.8564333!3s0x4d2ae779975a1b93:0x5244db38429bfcf6!3m4!1m2!1d-79.8632558!2d44.8564391!3s0x4d2ae7798f707d7f:0x880cbd300993ed4a!3m4!1m2!1d-79.8631814!2d44.8556208!3s0x4d2ae77982fb8bbd:0x5a5a116c49982ed2!1m0!3e2",
Maggie Lake Loop,1039,1,Algonquin,Algonquin,Ontario,Canada,32.6,470,,,,,,,,,28.2,-23.2,774.9,200.5,loop,45.463,-78.798,1,1,1,0,0,0,0,0,4.7,3.1,"https://www.komoot.com/plan/tour/d11ArW3F_tNo-U=FyjsEzL3ipzKcSKsdfHOS70A/@45.4802683,-78.8228851,11.615z",
Slide Lake Loop,1040,1,Frontenac,Frontenac,Ontario,Canada,31.3,190,,,,,,,,,29.9,-19.7,865.4,127.8,loop,44.519,-76.541,1,1,0,0,0,1,0,0,3.9,3.5,"https://www.komoot.com/plan/tour/d01AqdGaPtwCIY=FxhQBjrreNx7RLzxwD3biKTUr4CD2zceDqxVYCqA/@44.5208741,-76.5049345,11.647z",
Calabogie Loop,1041,1,Calabogie,Ottawa,Ontario,Canada,31.1,640,,,,,,,,,30.7,-21.9,728.4,157.2,loop,45.272,-76.779,1,1,1,0,1,0,0,0,4.5,3.6,"https://www.komoot.com/plan/tour/d11ArLX4ftsa-Y=Fxj4Erfx6YlUHp-uYH5b1nZaSM6CYW7nulA=/@45.2485779,-76.8030793,11.230z",https://www.alltrails.com/trail/canada/ontario/calabogie-loop
Ishpatina Ridge,1042,1,Lady Evelyn-Smoothwater,Temagami,Ontario,Canada,30.3,1220,,,,,,,,,28.6,-26.9,654.5,183.5,out and back,47.225,-80.828,1,1,1,0,1,0,0,0,4.7,3.7,https://www.alltrails.com/trail/canada/ontario/ishpatina-ridge,http://www.ottertooth.com/Temagami/Maps/heartland03b.htm
Cat Mountain Summit,1044,1,Cranberry Lake,Adirondacks,New York,USA,29.1,340,,,,,,,,,28.2,-22.1,1094.9,213.6,loop,44.132,-74.920,1,1,1,1,0,0,0,0,4.2,4.2,"https://www.komoot.com/plan/tour/d11AqFtaPuI41U=FyjsExxfaRzuStMMWIEQrBUA/@44.1013967,-74.9121217,11.046z",
Mount Haystack,,1,High Peaks,Adirondacks,New York,USA,27.3,1310,,,,,,,,,,,,,loop,44.184,73.815,1,1,0,0,0,0,0,0,,,"https://www.komoot.com/plan/tour/d01AqJFAvuZp2E=FylsCC53nau2Hvi2AeYcc9tF-fY2ThLq-1D9psCKILFA/@44.1472325,-73.8298646,10.770z",
Gothics Mountain,,1,High Peaks,Adirondacks,New York,USA,27.0,1500,,,,,,,,,,,,,loop,44.184,73.815,1,1,0,0,0,0,0,0,,,"https://www.komoot.com/plan/tour/d01AqJFAvuZp2E=FxlsCC53ncvH5bQDtqx7SRTMhneg/@44.1464008,-73.7912037,10.826z",
Philippe Lake Loop,1045,1,Gatineau,Ottawa,Quebec,Canada,26.4,390,,,,,,,,,29.8,-23.2,842.2,177.7,loop,45.635,-75.936,1,1,1,1,1,0,0,0,4.5,3.9,"https://www.komoot.com/plan/tour/d11ArhUPvt5Tac=FxjsBP4duciyoU9nyMdbhnObKkAh4_OgpEoEYrYmRoCdjQA=/@45.6076213,-75.9482844,11.494z",https://ncc-website-2.s3.amazonaws.com/documents/GP_SummerTrailsMap.pdf
Algonquin Peak,,1,High Peaks,Adirondacks,New York,USA,25.1,1210,,,,,,,,,,,,,loop,44.183,-73.964,1,1,0,0,0,0,0,0,,,"https://www.komoot.com/plan/tour/d01AqIujPuXZw8=FxjQBQup9BqezIByfR4_I_1BAOKdvgcQaSEUv0yPuDNA/@44.1556847,-73.9227030,11.006z",
Wemtagoosh Falls Loop,1046,1,Point Grondine,Killarney,Ontario,Canada,22.2,660,,,,,,,,,25.6,-21.9,731.3,164.2,loop,46.072,-81.180,1,1,1,1,1,0,0,0,4.9,3.8,https://www.alltrails.com/trail/canada/ontario/wemtagoosh-falls-loop,https://www.grondinepark.com/map/
Big Slide Mountain,,1,High Peaks,Adirondacks,New York,USA,19.6,830,,,,,,,,,,,,,loop,44.184,73.815,1,1,0,0,0,0,0,0,,,"https://www.komoot.com/plan/tour/d01AqJFAvuZp2E=FxhcCud52a-pS2cuZrJ71FDpo8f74QMmsvz4OgA=/@44.1744802,-73.8472223,11.853z",
Eastern Pines,1047,1,Algonquin,Algonquin,Ontario,Canada,19.6,130,,,,,,,,,30.7,-23.5,682.3,175.3,loop,45.867,-77.757,1,1,1,1,0,0,0,0,3.8,3.0,"https://www.komoot.com/plan/tour/d01ArvhdftdiZE=FxhcEjC9cR8ECtYTakhhOShpXwBQ/@45.8611220,-77.7198442,12.195z",
McCrae Lake,1049,1,McCrae Lake,Georgian Bay,Ontario,Canada,15.8,70,,,,,,,,,28.4,-19.0,839.8,162.1,out and back,44.922,-79.777,1,1,0,1,0,0,0,0,3.7,3.6,"https://www.komoot.com/plan/tour/d11Aq10wvs-sfo=Fxd4EaU5_WPmd1gOWnr7u8H-UeaA/@44.9197459,-79.7906874,12.516z",https://files.ontario.ca/476.1.1en-figure-2-enlarge.png
Centennial Ridges,1050,1,Algonquin,Algonquin,Ontario,Canada,13.9,250,,,,,,,,,28.5,-23.8,729.6,197.2,loop,45.572,-78.430,1,1,0,0,0,0,0,0,3.7,3.1,"https://www.komoot.com/plan/tour/d01ArdeaftTQP0=FwhMBLO7z-wunxVGS9zHQA==/@45.5586697,-78.4051054,12.153z",
Pollett's Cove,1051,1,Cape Breton Highlands,Cape Breton,Nova Scotia,Canada,13.2,830,,,,,,,,,23.6,-11.8,865.3,304.1,out and back,46.873,-60.743,1,0,1,0,1,0,0,0,4.2,4.0,https://www.alltrails.com/trail/canada/nova-scotia/polletts-cove?ref=result-card,
Smokey Head,1052,1,Smokey Head,Bruce Peninsula,Ontario,Canada,13.2,200,,,,,,,,,25.3,-16.1,746.0,158.5,loop,45.020,-81.284,1,1,0,0,0,0,0,0,3.6,3.8,"https://www.komoot.com/plan/tour/d01ArAPc_sn4qY=FtiABJBX2lpYce2POLG7jlA=/@45.0707935,-81.2413678,11.538z",
Bach's Lookout,1053,1,Charleston Lake,Frontenac,Ontario,Canada,12.7,260,,,,,,,,,30.1,-18.7,885.5,126.4,loop,44.504,-76.038,1,1,0,0,1,0,0,0,3.0,3.7,https://www.alltrails.com/explore/recording/afternoon-hike-at-tallow-rock-trail-cf2ee7d,
Peat Mountain Trail,1054,1,Lake Superior,Lake Superior,Ontario,Canada,9.4,260,,,,,,,,,24.7,-25.9,701.8,202.6,out and back,47.752,-84.826,1,1,0,0,0,0,0,0,3.7,3.7,"https://www.komoot.com/plan/tour/d01Atij5_rxocY=FxeABNlw8AKfg1b3ygA=/@47.7459854,-84.8486876,13.227z",
Bon Echo (L1 + L2),1055,1,Bon Echo,Frontenac,Ontario,Canada,8.9,70,,,,,,,,,30.1,-21.7,750.6,158.3,loop,44.902,-77.246,1,1,0,0,0,0,0,0,2.5,3.7,"https://www.komoot.com/plan/tour/d01Aq0ocPtlU1Q=FwhsBmAHqo_ukBHiqUXTU0A=/@44.9142399,-77.2431496,12.451z",
Montgomery Loop,1056,1,Queen Elizabeth II,Frontenac,Ontario,Canada,8.5,50,,,,,,,,,29.8,-22.1,862.8,148.3,loop,44.830,-79.058,1,1,1,1,0,0,0,0,3.0,3.8,"https://www.komoot.com/plan/tour/d01AqwbEPtJp7w=FwgABIYD83wXPDTmygA=/@44.8377399,-79.0420910,12.681z",
Track and Tower,1057,1,Algonquin,Algonquin,Ontario,Canada,7.9,180,,,,,,,,,28.0,-23.5,729.6,197.2,loop,45.560,-78.578,1,1,1,0,0,1,0,0,3.6,2.9,"https://www.komoot.com/plan/tour/d01Arcw4PtRAH4=FwhsBQ2rXVUAn9coA3n9e6gdwAlEkYKVAA==/@45.5499735,-78.5635676,12.757z",
Sandstone Island Trail,1058,1,Charleston Lake,Frontenac,Ontario,Canada,6.2,30,,,,,,,,,30.0,-18.7,885.5,126.4,loop,44.517,-76.022,1,1,0,0,0,0,0,0,2.6,3.7,"https://www.komoot.com/plan/tour/d01AqdJ6ft3_78=FueABIouODia1fh8hjPr6IphoTjKhe4oig6MNoA=/@44.5163053,-76.0123139,13.499z",
Flowerpot Island Loop,1059,1,Fathom Five,Bruce Peninsula,Ontario,Canada,5.8,50,,,,,,,,,23.6,-15.6,761.8,177.7,loop,45.299,-81.617,1,1,0,0,0,1,1,0,3.3,3.8,"https://www.komoot.com/plan/tour/d01ArM1Q_sintI=FvfsBNMq6z5Q_YnNhbxQOOq7Q6gZw3qePAIsOrh2cZ74QNbo/@45.2998030,-81.6152390,14.793z",